league,season,date,club_name,home_away,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,wins,draws,loses,pts
EPL,2020,2021-01-16 20:00:00,Leicester City,h,2.12019,0.378147,2.12019,0.378147,9.821428571428571,9.521739130434783,9,5,2,0,2.6108,w,1,0,0,3
EPL,2020,2021-01-19 20:15:00,Leicester City,h,1.1449,0.615727,1.1449,0.615727,18.045454545454547,8.545454545454545,9,7,2,0,1.8511,w,1,0,0,3
EPL,2020,2021-01-27 20:15:00,Leicester City,a,0.792045,0.474981,0.792045,0.474981,6.24,24.357142857142858,8,2,1,1,1.6051000000000002,d,0,1,0,1
EPL,2020,2021-01-31 14:00:00,Leicester City,h,1.73432,1.8141,1.73432,1.8141,8.178571428571429,7.233333333333333,6,4,1,3,1.3044,l,0,0,1,0
EPL,2020,2021-02-03 18:00:00,Leicester City,a,1.71299,0.731288,1.71299,0.731288,19.0,7.666666666666667,6,10,2,0,2.2877,w,1,0,0,3
EPL,2020,2021-02-07 14:00:00,Leicester City,a,0.632232,1.35506,0.632232,1.35506,7.470588235294118,14.826086956521738,10,7,0,0,0.7269,d,0,1,0,1
EPL,2020,2021-02-13 12:30:00,Leicester City,h,2.07383,1.68325,2.07383,1.68325,13.478260869565217,7.566666666666666,2,12,3,1,1.6653,w,1,0,0,3
EPL,2020,2021-02-21 14:00:00,Leicester City,a,1.23852,1.7084,1.23852,1.7084,9.04,13.823529411764708,6,5,2,1,0.9439,w,1,0,0,3
EPL,2020,2021-02-28 12:00:00,Leicester City,h,0.533575,2.1065,0.533575,1.34533,10.96,24.4,3,7,1,3,0.1895,l,0,0,1,0
EPL,2020,2021-03-03 18:00:00,Leicester City,a,1.24109,1.26793,1.24109,1.26793,9.5,18.833333333333332,6,7,1,1,1.311,d,0,1,0,1
EPL,2020,2021-03-06 20:00:00,Leicester City,a,1.03801,0.75471,1.03801,0.75471,7.5,11.78125,7,11,2,1,1.6166,w,1,0,0,3
EPL,2020,2021-03-14 14:00:00,Leicester City,h,4.54571,0.0934777,4.54571,0.0934777,6.115384615384615,22.5,12,2,5,0,2.9935,w,1,0,0,3
EPL,2020,2021-04-03 16:30:00,Leicester City,h,0.284781,1.98438,0.284781,1.98438,21.0,8.405405405405405,2,12,0,2,0.2195,l,0,0,1,0
EPL,2020,2021-04-11 13:05:00,Leicester City,a,1.17188,1.02408,1.17188,1.02408,6.838709677419355,25.214285714285715,7,4,2,3,1.4382,l,0,0,1,0
EPL,2020,2021-04-22 19:00:00,Leicester City,h,2.6712,0.277126,2.6712,0.277126,4.75,20.36842105263158,9,4,3,0,2.8297,w,1,0,0,3
EPL,2020,2021-04-26 19:00:00,Leicester City,h,1.23419,0.723112,1.23419,0.723112,4.481481481481482,17.529411764705884,12,1,2,1,1.7734,w,1,0,0,3
EPL,2020,2021-04-30 19:00:00,Leicester City,a,2.51518,0.954057,2.51518,0.192888,3.971428571428571,21.75,8,2,1,1,2.4728,d,0,1,0,1
EPL,2020,2021-05-07 19:00:00,Leicester City,h,2.315,2.87261,2.315,2.87261,4.793103448275862,16.27777777777778,9,3,2,4,1.005,l,0,0,1,0
EPL,2020,2021-05-11 17:00:00,Leicester City,a,0.991522,0.212874,0.991522,0.212874,11.96551724137931,20.46153846153846,2,2,2,1,2.1169,w,1,0,0,3
EPL,2020,2021-05-18 19:15:00,Leicester City,a,0.832596,2.86149,0.832596,2.10032,10.966666666666669,6.964285714285714,5,11,1,2,0.2156,l,0,0,1,0
EPL,2020,2021-05-23 15:00:00,Leicester City,h,1.82554,1.85229,0.3032,1.85229,10.88888888888889,13.333333333333334,2,6,2,4,1.3387,l,0,0,1,0
EPL,2020,2020-09-13 13:00:00,West Bromwich Albion,h,0.352997,2.95581,0.352997,1.43347,19.105263157894736,10.529411764705882,6,3,0,3,0.0568,l,0,0,1,0
EPL,2020,2020-09-19 11:30:00,West Bromwich Albion,a,0.315347,4.16254,0.315347,4.16254,41.5,9.095238095238097,6,6,2,5,0.0037,l,0,0,1,0
EPL,2020,2020-09-26 16:30:00,West Bromwich Albion,h,0.911185,2.36046,0.911185,2.36046,40.81818181818182,4.52,3,12,3,3,0.4057,d,0,1,0,1
EPL,2020,2020-10-04 11:00:00,West Bromwich Albion,a,0.161283,0.949079,0.161283,0.949079,15.842105263157896,5.09375,1,6,0,2,0.5202,l,0,0,1,0
EPL,2020,2020-10-19 16:30:00,West Bromwich Albion,h,0.731692,1.08532,0.731692,1.08532,8.25,13.31578947368421,3,2,0,0,0.9921,d,0,1,0,1
EPL,2020,2020-10-26 17:30:00,West Bromwich Albion,a,0.295654,0.546807,0.295654,0.546807,14.421052631578949,10.708333333333334,4,4,1,1,0.9414,d,0,1,0,1
EPL,2020,2020-11-02 17:30:00,West Bromwich Albion,a,0.482685,1.62247,0.482685,1.62247,5.054054054054054,12.478260869565217,3,4,0,2,0.4562,l,0,0,1,0
